date,sales
2022-01-01,3784
2022-01-02,2594
2022-01-03,3185
2022-01-04,2934
2022-01-05,1883
2022-01-06,2274
2022-01-07,1961
2022-01-08,2157
2022-01-09,3141
2022-01-10,3874
2022-01-11,3147
2022-01-12,2777
2022-01-13,1151
2022-01-14,1419
2022-01-15,2438
2022-01-16,3167
2022-01-17,3438
2022-01-18,2476
2022-01-19,1780
2022-01-20,1710
2022-01-21,2202
2022-01-22,3309
2022-01-23,2747
2022-01-24,2011
2022-01-25,3112
2022-01-26,2505
2022-01-27,3269
2022-01-28,1468
2022-01-29,2544
2022-01-30,1837
2022-01-31,2220
2022-02-01,2326
2022-02-02,2914
2022-02-03,2501
2022-02-04,2182
2022-02-05,3092
2022-02-06,4055
2022-02-07,3972
2022-02-08,2333
2022-02-09,3029
2022-02-10,2074
2022-02-11,2018
2022-02-12,3358
2022-02-13,2923
2022-02-14,2998
2022-02-15,3443
2022-02-16,3230
2022-02-17,2747
2022-02-18,3586
2022-02-19,3724
2022-02-20,3552
2022-02-21,2865
2022-02-22,3814
2022-02-23,2992
2022-02-24,3762
2022-02-25,3498
2022-02-26,4217
2022-02-27,2873
2022-02-28,4178
2022-03-01,2524
2022-03-02,3554
2022-03-03,3245
2022-03-04,2447
2022-03-05,2217
2022-03-06,4294
2022-03-07,3740
2022-03-08,2375
2022-03-09,1953
2022-03-10,2255
2022-03-11,2044
2022-03-12,3233
2022-03-13,1522
2022-03-14,3256
2022-03-15,2595
2022-03-16,2148
2022-03-17,1775
2022-03-18,3338
2022-03-19,2846
2022-03-20,2748
2022-03-21,1905
2022-03-22,1922
2022-03-23,2993
2022-03-24,1496
2022-03-25,2488
2022-03-26,1553
2022-03-27,3122
2022-03-28,3179
2022-03-29,2720
2022-03-30,1969
2022-03-31,3936
2022-04-01,2280
2022-04-02,3032
2022-04-03,2089
2022-04-04,2978
2022-04-05,3043
2022-04-06,2108
2022-04-07,3115
2022-04-08,2200
2022-04-09,4667
2022-04-10,3805
2022-04-11,2316
2022-04-12,3837
2022-04-13,2437
2022-04-14,2948
2022-04-15,2851
2022-04-16,1714
2022-04-17,3497
2022-04-18,3051
2022-04-19,2869
2022-04-20,2521
2022-04-21,1844
2022-04-22,1828
