date,sales
2022-01-01,3440
2022-01-02,2647
2022-01-03,1886
2022-01-04,2828
2022-01-05,2961
2022-01-06,2383
2022-01-07,1862
2022-01-08,2950
2022-01-09,3585
2022-01-10,4919
2022-01-11,3860
2022-01-12,2441
2022-01-13,2437
2022-01-14,3505
2022-01-15,2812
2022-01-16,2929
2022-01-17,2307
2022-01-18,2758
2022-01-19,3446
2022-01-20,2706
2022-01-21,4489
2022-01-22,2620
2022-01-23,1957
2022-01-24,3092
2022-01-25,2607
2022-01-26,2404
2022-01-27,2376
2022-01-28,2674
2022-01-29,3214
2022-01-30,3832
2022-01-31,3657
2022-02-01,2555
2022-02-02,4010
2022-02-03,3145
2022-02-04,2894
2022-02-05,2066
2022-02-06,1183
2022-02-07,2045
2022-02-08,3570
2022-02-09,3794
2022-02-10,2889
2022-02-11,1700
2022-02-12,2500
2022-02-13,2319
2022-02-14,2939
2022-02-15,4118
2022-02-16,925
2022-02-17,2142
2022-02-18,1749
2022-02-19,1590
2022-02-20,1775
2022-02-21,2840
2022-02-22,2472
2022-02-23,2165
2022-02-24,2379
2022-02-25,2025
2022-02-26,2118
2022-02-27,4561
2022-02-28,3981
2022-03-01,3339
2022-03-02,2662
2022-03-03,2833
2022-03-04,3259
2022-03-05,3615
2022-03-06,2060
2022-03-07,2083
2022-03-08,4133
2022-03-09,2924
2022-03-10,2990
2022-03-11,2896
2022-03-12,2597
2022-03-13,2666
2022-03-14,2547
2022-03-15,2061
2022-03-16,1518
2022-03-17,3490
2022-03-18,2356
2022-03-19,3056
2022-03-20,2194
2022-03-21,1980
2022-03-22,2640
2022-03-23,2420
2022-03-24,4238
2022-03-25,1578
2022-03-26,4835
2022-03-27,2433
2022-03-28,2391
2022-03-29,2276
2022-03-30,2440
2022-03-31,2396
2022-04-01,2798
2022-04-02,2756
2022-04-03,2801
2022-04-04,1150
2022-04-05,1716
2022-04-06,1638
2022-04-07,2514
2022-04-08,3292
2022-04-09,2622
2022-04-10,2260
2022-04-11,1759
2022-04-12,3015
2022-04-13,2360
2022-04-14,2975
2022-04-15,3537
2022-04-16,1880
2022-04-17,3406
2022-04-18,2608
2022-04-19,2200
2022-04-20,2555
2022-04-21,3263
2022-04-22,2692
2022-04-23,2208
2022-04-24,2078
2022-04-25,3076
2022-04-26,3523
2022-04-27,4027
2022-04-28,2817
2022-04-29,2830
2022-04-30,1727
2022-05-01,2655
2022-05-02,3442
2022-05-03,3630
2022-05-04,1615
2022-05-05,2537
2022-05-06,3035
2022-05-07,3302
2022-05-08,2735
2022-05-09,2338
2022-05-10,4141
2022-05-11,2356
2022-05-12,2215
2022-05-13,3339
2022-05-14,2792
2022-05-15,2940
2022-05-16,2197
2022-05-17,2646
2022-05-18,3563
2022-05-19,1373
2022-05-20,2680
2022-05-21,2584
2022-05-22,3822
2022-05-23,2255
2022-05-24,3109
2022-05-25,3978
2022-05-26,2509
2022-05-27,2834
2022-05-28,3286
2022-05-29,1458
2022-05-30,4088
2022-05-31,2401
2022-06-01,1226
2022-06-02,3013
2022-06-03,2073
2022-06-04,2753
2022-06-05,3069
2022-06-06,1984
2022-06-07,2451
2022-06-08,3823
2022-06-09,3631
2022-06-10,2442
2022-06-11,4909
2022-06-12,2298
2022-06-13,2863
2022-06-14,3686
2022-06-15,2611
2022-06-16,2797
2022-06-17,2368
2022-06-18,2191
2022-06-19,1553
2022-06-20,2658
2022-06-21,5053
2022-06-22,2489
2022-06-23,2524
2022-06-24,2430
2022-06-25,3019
2022-06-26,2628
2022-06-27,2658
2022-06-28,2490
2022-06-29,2574
2022-06-30,3467
2022-07-01,2997
2022-07-02,4035
2022-07-03,1515
2022-07-04,2816
2022-07-05,3169
2022-07-06,1571
2022-07-07,2152
2022-07-08,3185
2022-07-09,2198
2022-07-10,2097
2022-07-11,2859
2022-07-12,2108
2022-07-13,1767
2022-07-14,2385
2022-07-15,3558
2022-07-16,2060
2022-07-17,2043
2022-07-18,3042
2022-07-19,3002
2022-07-20,3183
2022-07-21,3248
2022-07-22,3423
2022-07-23,2414
2022-07-24,2967
2022-07-25,2353
2022-07-26,3192
2022-07-27,2656
2022-07-28,4141
2022-07-29,4443
2022-07-30,3190
2022-07-31,2538
2022-08-01,2275
2022-08-02,2048
2022-08-03,2654
2022-08-04,1518
2022-08-05,1964
2022-08-06,2956
2022-08-07,937
2022-08-08,2624
2022-08-09,2464
2022-08-10,3061
2022-08-11,2465
2022-08-12,2273
2022-08-13,2559
2022-08-14,2475
2022-08-15,1788
2022-08-16,1751
2022-08-17,2557
2022-08-18,2299
2022-08-19,3614
2022-08-20,1233
2022-08-21,2372
2022-08-22,2523
2022-08-23,2846
2022-08-24,2844
2022-08-25,2180
2022-08-26,3077
2022-08-27,2902
2022-08-28,3039
2022-08-29,2121
2022-08-30,2251
2022-08-31,2647
2022-09-01,4863
2022-09-02,1294
2022-09-03,2695
2022-09-04,3069
2022-09-05,1573
2022-09-06,1800
2022-09-07,2601
2022-09-08,1763
2022-09-09,2559
2022-09-10,2474
2022-09-11,3003
2022-09-12,2117
2022-09-13,3146
2022-09-14,2216
