date,sales
2022-01-01,1738
2022-01-02,3586
2022-01-03,2699
2022-01-04,2561
2022-01-05,2194
2022-01-06,2420
2022-01-07,3258
2022-01-08,3831
2022-01-09,2124
2022-01-10,1408
2022-01-11,3035
2022-01-12,2810
2022-01-13,3779
2022-01-14,1156
2022-01-15,2860
2022-01-16,3954
2022-01-17,2136
2022-01-18,3870
2022-01-19,2320
2022-01-20,3472
2022-01-21,2321
2022-01-22,4224
2022-01-23,3086
2022-01-24,3122
2022-01-25,3200
2022-01-26,2550
2022-01-27,3155
2022-01-28,3958
2022-01-29,2341
2022-01-30,2855
2022-01-31,2732
2022-02-01,2108
2022-02-02,1611
2022-02-03,2860
2022-02-04,2588
2022-02-05,1787
2022-02-06,3245
2022-02-07,1854
2022-02-08,2233
2022-02-09,2488
2022-02-10,4204
2022-02-11,2515
2022-02-12,1917
2022-02-13,1224
2022-02-14,2802
2022-02-15,1789
2022-02-16,3915
2022-02-17,3275
2022-02-18,3174
2022-02-19,3064
2022-02-20,2352
2022-02-21,2514
2022-02-22,3671
2022-02-23,3394
2022-02-24,2070
2022-02-25,2940
2022-02-26,3376
2022-02-27,2605
2022-02-28,1703
2022-03-01,1146
2022-03-02,2056
2022-03-03,1956
2022-03-04,3689
2022-03-05,2435
2022-03-06,2324
2022-03-07,2377
2022-03-08,2232
2022-03-09,2513
2022-03-10,1530
2022-03-11,2442
2022-03-12,1900
2022-03-13,3449
2022-03-14,3082
2022-03-15,2076
2022-03-16,2660
2022-03-17,2234
2022-03-18,2061
2022-03-19,3836
2022-03-20,2109
2022-03-21,2953
2022-03-22,4112
2022-03-23,2339
2022-03-24,3204
2022-03-25,4553
2022-03-26,2364
2022-03-27,2663
2022-03-28,1848
2022-03-29,2442
2022-03-30,3094
2022-03-31,4083
2022-04-01,2522
2022-04-02,2507
2022-04-03,3117
2022-04-04,3402
2022-04-05,2584
2022-04-06,2451
2022-04-07,3499
2022-04-08,2273
2022-04-09,3192
2022-04-10,2940
2022-04-11,4011
2022-04-12,1464
2022-04-13,1504
2022-04-14,3391
2022-04-15,1537
2022-04-16,2995
2022-04-17,2106
2022-04-18,4015
2022-04-19,2533
2022-04-20,2815
2022-04-21,3289
2022-04-22,2747
2022-04-23,3199
2022-04-24,3358
2022-04-25,1901
2022-04-26,1955
2022-04-27,2194
2022-04-28,3435
2022-04-29,1960
2022-04-30,3676
2022-05-01,2398
2022-05-02,2123
2022-05-03,2512
2022-05-04,3213
2022-05-05,2804
2022-05-06,1868
2022-05-07,2100
2022-05-08,1471
2022-05-09,3572
2022-05-10,1363
2022-05-11,1430
2022-05-12,3989
2022-05-13,2264
2022-05-14,2272
2022-05-15,2842
2022-05-16,4120
2022-05-17,2589
2022-05-18,2129
2022-05-19,2944
2022-05-20,2380
2022-05-21,2979
2022-05-22,2406
2022-05-23,4090
2022-05-24,1584
2022-05-25,2645
2022-05-26,2606
2022-05-27,2319
2022-05-28,2773
2022-05-29,3835
2022-05-30,3068
2022-05-31,2630
2022-06-01,4649
2022-06-02,2707
