date,sales
2022-01-01,3112
2022-01-02,2269
2022-01-03,3211
2022-01-04,2113
2022-01-05,3148
2022-01-06,2473
2022-01-07,2373
2022-01-08,2537
2022-01-09,3015
2022-01-10,1913
2022-01-11,2440
2022-01-12,2788
2022-01-13,2301
2022-01-14,3541
2022-01-15,2455
2022-01-16,3391
2022-01-17,3317
2022-01-18,3120
2022-01-19,3941
2022-01-20,2269
2022-01-21,1800
2022-01-22,2353
2022-01-23,2063
2022-01-24,1351
2022-01-25,2846
2022-01-26,3254
2022-01-27,2521
2022-01-28,2822
2022-01-29,2721
2022-01-30,3303
2022-01-31,2181
2022-02-01,2817
2022-02-02,2416
2022-02-03,2593
2022-02-04,2827
2022-02-05,2540
2022-02-06,1759
2022-02-07,3302
2022-02-08,2429
2022-02-09,3640
2022-02-10,2489
2022-02-11,3756
2022-02-12,2651
2022-02-13,2348
2022-02-14,1682
2022-02-15,2290
2022-02-16,5465
2022-02-17,3280
2022-02-18,3106
2022-02-19,2092
2022-02-20,2702
2022-02-21,2114
2022-02-22,2088
2022-02-23,2209
2022-02-24,3129
2022-02-25,2894
2022-02-26,2776
2022-02-27,2293
2022-02-28,2372
2022-03-01,3509
2022-03-02,2013
2022-03-03,2215
2022-03-04,3108
2022-03-05,2710
2022-03-06,2835
2022-03-07,3889
2022-03-08,2408
2022-03-09,2469
2022-03-10,3262
2022-03-11,2196
2022-03-12,2568
2022-03-13,2143
2022-03-14,2910
2022-03-15,3141
2022-03-16,2851
2022-03-17,2865
2022-03-18,2852
2022-03-19,2662
2022-03-20,2957
2022-03-21,3966
2022-03-22,3275
2022-03-23,2867
2022-03-24,2185
2022-03-25,4820
2022-03-26,3708
2022-03-27,3825
2022-03-28,1386
2022-03-29,4134
2022-03-30,3765
2022-03-31,2145
2022-04-01,2490
2022-04-02,1963
2022-04-03,3727
2022-04-04,3219
2022-04-05,2654
2022-04-06,2897
2022-04-07,2595
2022-04-08,2149
2022-04-09,3004
2022-04-10,3041
2022-04-11,3149
2022-04-12,2792
2022-04-13,3399
2022-04-14,1805
2022-04-15,3305
2022-04-16,3658
2022-04-17,3061
2022-04-18,2887
2022-04-19,2907
2022-04-20,3156
2022-04-21,2131
2022-04-22,1803
2022-04-23,1054
2022-04-24,2415
2022-04-25,1950
2022-04-26,2929
2022-04-27,2473
2022-04-28,2162
2022-04-29,2346
2022-04-30,3268
2022-05-01,2099
2022-05-02,2574
2022-05-03,2057
2022-05-04,2202
2022-05-05,3298
2022-05-06,4117
2022-05-07,3504
2022-05-08,4089
2022-05-09,2758
2022-05-10,2162
2022-05-11,1992
2022-05-12,863
2022-05-13,2652
2022-05-14,3021
2022-05-15,2549
2022-05-16,2572
2022-05-17,2645
2022-05-18,3282
2022-05-19,3798
2022-05-20,3424
2022-05-21,1519
2022-05-22,2509
2022-05-23,2265
2022-05-24,3944
2022-05-25,1666
2022-05-26,2472
2022-05-27,3283
2022-05-28,2413
2022-05-29,3436
2022-05-30,2281
2022-05-31,2670
2022-06-01,1975
2022-06-02,2184
2022-06-03,3327
2022-06-04,2867
2022-06-05,3520
2022-06-06,2650
2022-06-07,3773
2022-06-08,1904
2022-06-09,2410
2022-06-10,1965
2022-06-11,2926
2022-06-12,4064
2022-06-13,2698
2022-06-14,2578
2022-06-15,2012
2022-06-16,2365
2022-06-17,3180
2022-06-18,3061
2022-06-19,4547
2022-06-20,2078
2022-06-21,3645
2022-06-22,3577
2022-06-23,3415
2022-06-24,4355
2022-06-25,1909
2022-06-26,2856
2022-06-27,2855
2022-06-28,2609
2022-06-29,3652
2022-06-30,2675
2022-07-01,2387
2022-07-02,2612
2022-07-03,1748
2022-07-04,4190
2022-07-05,3390
2022-07-06,2782
2022-07-07,3127
2022-07-08,2421
2022-07-09,3702
2022-07-10,2870
2022-07-11,3820
2022-07-12,1662
2022-07-13,3172
2022-07-14,1854
2022-07-15,2940
2022-07-16,3127
2022-07-17,2539
2022-07-18,1776
2022-07-19,2788
2022-07-20,2616
2022-07-21,3122
2022-07-22,3350
2022-07-23,2283
2022-07-24,3166
2022-07-25,2647
2022-07-26,2725
2022-07-27,2306
2022-07-28,3683
2022-07-29,2084
2022-07-30,1709
2022-07-31,3020
2022-08-01,3862
2022-08-02,3823
2022-08-03,2928
2022-08-04,3454
2022-08-05,3627
2022-08-06,3127
2022-08-07,3113
2022-08-08,2427
2022-08-09,1905
2022-08-10,2536
2022-08-11,1760
2022-08-12,2467
2022-08-13,2515
2022-08-14,1491
2022-08-15,2807
2022-08-16,2475
2022-08-17,2464
2022-08-18,3168
2022-08-19,2665
2022-08-20,2395
2022-08-21,3506
2022-08-22,1666
2022-08-23,1634
2022-08-24,2488
2022-08-25,3793
2022-08-26,2239
2022-08-27,4259
2022-08-28,4231
2022-08-29,3359
2022-08-30,3075
2022-08-31,2582
2022-09-01,1797
2022-09-02,1731
2022-09-03,3554
2022-09-04,2653
2022-09-05,4193
2022-09-06,2871
2022-09-07,4213
2022-09-08,2912
2022-09-09,3543
2022-09-10,2474
2022-09-11,2037
2022-09-12,1665
2022-09-13,3774
2022-09-14,2898
2022-09-15,2245
2022-09-16,2497
2022-09-17,3214
2022-09-18,2989
2022-09-19,3021
2022-09-20,2836
2022-09-21,2892
2022-09-22,2111
2022-09-23,2434
2022-09-24,2494
2022-09-25,2378
2022-09-26,4055
2022-09-27,2329
2022-09-28,2611
2022-09-29,2524
2022-09-30,3615
2022-10-01,2766
2022-10-02,2304
2022-10-03,3804
