date,sales
2022-01-01,2410
2022-01-02,2756
2022-01-03,3126
2022-01-04,2440
2022-01-05,2741
2022-01-06,3653
2022-01-07,3103
2022-01-08,1781
2022-01-09,2187
2022-01-10,2417
2022-01-11,2717
2022-01-12,3312
2022-01-13,3024
2022-01-14,3535
2022-01-15,3188
2022-01-16,2162
2022-01-17,1941
2022-01-18,1855
2022-01-19,2560
2022-01-20,4437
2022-01-21,1834
2022-01-22,2324
2022-01-23,2797
2022-01-24,1701
2022-01-25,2180
2022-01-26,2967
2022-01-27,2440
2022-01-28,2240
2022-01-29,2349
2022-01-30,2167
2022-01-31,2397
2022-02-01,3609
2022-02-02,3596
2022-02-03,2999
2022-02-04,2031
2022-02-05,1262
2022-02-06,3780
2022-02-07,1840
2022-02-08,3427
2022-02-09,1897
2022-02-10,2428
2022-02-11,3276
2022-02-12,3922
2022-02-13,2163
2022-02-14,3359
2022-02-15,2336
2022-02-16,2660
2022-02-17,2169
2022-02-18,3426
2022-02-19,1674
2022-02-20,3155
2022-02-21,2463
2022-02-22,2472
2022-02-23,2771
2022-02-24,2828
2022-02-25,1784
2022-02-26,2562
2022-02-27,2902
2022-02-28,2604
2022-03-01,3163
2022-03-02,2489
2022-03-03,2677
2022-03-04,1905
2022-03-05,3002
2022-03-06,2581
2022-03-07,1313
2022-03-08,3045
2022-03-09,3208
2022-03-10,2543
2022-03-11,2481
2022-03-12,3158
2022-03-13,3774
2022-03-14,1726
2022-03-15,1184
2022-03-16,3772
2022-03-17,2311
2022-03-18,3717
2022-03-19,1590
2022-03-20,3266
2022-03-21,3109
2022-03-22,1263
2022-03-23,2737
2022-03-24,3544
2022-03-25,1301
2022-03-26,2206
2022-03-27,2711
2022-03-28,3612
2022-03-29,2569
2022-03-30,2062
2022-03-31,2417
2022-04-01,3994
2022-04-02,2646
2022-04-03,2476
2022-04-04,3049
2022-04-05,2762
2022-04-06,3560
2022-04-07,2937
2022-04-08,4363
2022-04-09,2010
2022-04-10,1840
2022-04-11,2826
2022-04-12,2072
2022-04-13,2820
2022-04-14,2084
2022-04-15,2433
2022-04-16,3021
2022-04-17,3150
2022-04-18,2168
2022-04-19,3596
2022-04-20,2230
2022-04-21,3052
2022-04-22,2154
2022-04-23,3254
2022-04-24,3344
2022-04-25,2375
2022-04-26,2728
